elevation_deg,PPV_no_diversity,PPV_fixed_diversity,PPV_adaptive_diversity,no_interleaver,interleaver,fixed,adaptive
20.0,4.887012e-01,3.476667e-01,2.730838e-01,8.980000e-01,8.323333e-01,8.046667e-01,6.770000e-01
30.0,3.257276e-01,1.750000e-01,1.396731e-01,7.553333e-01,5.250000e-01,3.996667e-01,2.803333e-01
40.0,2.543445e-01,1.096667e-01,8.777230e-02,6.550000e-01,3.466667e-01,1.840000e-01,1.406667e-01
50.0,2.114077e-01,7.433333e-02,5.917302e-02,5.606667e-01,2.693333e-01,1.116667e-01,9.000000e-02
60.0,1.772400e-01,5.000000e-02,3.988125e-02,4.746667e-01,2.010000e-01,6.433333e-02,5.500000e-02
70.0,1.421078e-01,3.133333e-02,2.514855e-02,3.750000e-01,1.400000e-01,3.833333e-02,3.400000e-02
80.0,1.103151e-01,1.666667e-02,1.363712e-02,3.000000e-01,8.700000e-02,1.933333e-02,1.700000e-02
90.0,8.050306e-02,7.666667e-03,6.151690e-03,2.260000e-01,5.200000e-02,8.666667e-03,7.666667e-03
