n_erased,P_recovery_fixed,P_recovery_adaptive
0,1.000000,1.000000
1,1.000000,1.000000
2,1.000000,1.000000
3,0.000000,0.000000
4,0.000000,0.000000
5,0.000000,0.000000
6,0.000000,0.000000
